promoterRunId,promoterRunTimestampUtc,documentId,sectionId,familyId,caseId,canonicalId,originalCandidateId,claimSha256,claimTextExcerpt,authorityClass,modality,requirementKind,promotionHint,challengerVerdict,challengerOverridden,defenderVerdict,bundleGateScopeComplete,siblingResolutionFired,judgeDecision,judgeConfidence,judgeOverridden,finalState,gateOverallStatus,quoteAuditStatus,quoteAuditMisses,schemaAuditStatus,authorityModalityStatus,authorityInvariantViolated,structureModel,extractionModel,challengeModel,defenseModel,bundleGateModel,judgeModel,numCtx,structureAttempts,extractionAttempts,promptVersion,promptVersionSha,structurePromptSha,extractionPromptSha,challengePromptSha,defensePromptSha,bundleGatePromptSha,judgePromptSha,eventSource,curationRunId,curationModel,curationAction,curationConfidence,curationReasoning,curationCorrectionsJson,curationAuditPath
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::6f7c53b154316740,req_route_clearance_readback,c00306496acd7f9f20fca1b5d18be8a81254064fb9f3cc58461a26918f610821,ATC route clearances shall always be read back unless otherwise authorised by the appropriate ATS authority.,authoritative_requirement,shall,rule,promote,supported,false,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::416df194379d4cd4,req_route_clearance_ack,df91175b9f64d7c4cdf5c8d1193b9ca29de215dc2366df59ac1f19ac51d5668c,"If a route clearance is not read back because it is otherwise authorised, it shall be acknowledged in a positive manner.",authoritative_requirement,shall,rule,promote,supported,false,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::90d7228d9f0371b1,req_callsign_in_readback,30dafd56f69d61213036f37b22970aab4d07abbb07a338400d6cca0ed6c13d37,Read backs shall always include the aircraft callsign.,authoritative_requirement,shall,phraseology_rule,promote,supported,false,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::e5e8193a7616edbf,req_full_readback_list,0e8873756f13cbb3039218787b95be35bee0582936efd44855c47244f69372c5,"ATS messages listed in 2.69 (including Taxi/Towing, Level, Heading, Speed, Airways/Route, Approach, Runway-in-Use, Runway entry/land/takeoff/cross/hold, SSR, Altimeter <1000hPa, VDF, Frequency, ATS Service Type, Transition Levels) are to be",authoritative_requirement,shall,rule,promote,supported,true,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::5be7cfa8ac79626b,req_readback_missing,8735570ffeefbf2da75e47b7c989b9d3520525dadb7f18eda3f09c6b1baa9867,"If a readback is not received for a required message, the pilot/driver will be asked to do so.",operational_guidance,shall,workflow_constraint,promote,supported,true,defensible,true,false,needs_human_review,medium,false,pending,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::66f9e846fad0b3f3,req_request_repetition,b8f225db92740c8ed18349fef8857a81c23f115e4773a8a62f497677066757dc,The pilot/driver is expected to request that instructions are repeated or clarified if any are not fully understood.,operational_guidance,should,best_practice,advisory_only,supported,false,defensible,true,false,advisory_only,high,false,pending,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::77defe5f0684579f,req_abbreviated_readback,dbacd334b7be3d3820bc5df9100918890cc8dc133637c35e434f7ac0572a6a9f,Items which do not appear in the list in 2.69 may be acknowledged with an abbreviated read back.,operational_guidance,may,rule,promote,supported,false,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,cap413-extracted,readback_2_68_2_71,cap413_readback_family,cap413_readback_family,cap413-extracted::readback_2_68_2_71::07c68d8e755e5c46,req_negative_correction,bb9de8db761cc24f7bc1f8b7c220a32fb248cb0e46874a41101e82ffe22814aa,"If an aircraft read back of a clearance or instruction is incorrect, the controller shall transmit the word 'NEGATIVE' followed by the correct version.",authoritative_requirement,shall,phraseology_rule,promote,supported,false,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,egast-vfr-extracted,readback_advisory,egast_vfr_readback_family,egast_vfr_readback_family,egast-vfr-extracted::readback_advisory::4c550f13299b2142,req_readback_runway,7a06f37e85ef91b08be4858785a7d04cd4b8eecf47f7a6ed53293cf76b083cf7,"Messages containing clearances/instructions to enter, land on, take-off from, hold short of, cross or backtrack any runway must be read back.",best_practice,shall,rule,promote,supported,true,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
promote_2026-04-28T19-35-19Z_5786,2026-04-28T19:35:19Z,egast-vfr-extracted,readback_advisory,egast_vfr_readback_family,egast_vfr_readback_family,egast-vfr-extracted::readback_advisory::987300b2eaab8d13,req_readback_runway_in_use,e67b7aef3c542597dfc329065a61b8317f4e8ae77a45020de4ade2d64fecd59a,Messages containing the runway in use must be read back.,best_practice,shall,rule,promote,supported,true,defensible,true,false,accepted,high,false,accepted,pass,pass,0,pass,pass,false,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen2.5-coder:32b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,qwen3.6:35b-a3b,24576,3,3,ollama-first-2026-04-28,25de32675884cb3976f22fb28206209e8e72a1db3a6e556bb46490935002b66c,d734d5291933bae15c654b4bbb2c90110fb66bfe6a3cd5cefadd8bb5a974b015,56b69ad27ea3962fdc492e67ea659e0b8a44eaa5352bc3b8f7c4da3124506e7b,1bee78b2e4bc34b3e12fbfdf37f7d0b203fe61917a9f69e67f44e5970998730a,fe5e953572395cceb7f50820650d8bcce531a63d141e83f5e2bce3b21549a534,4c4b709a7a9431b6e6ed604c2e1087aa038624b61fdee9c443713d253c2ecf57,9b7bde1f038dfb0f1d69577cd1f168bd40ff0ea0c5755b6e8b04a4deb0f77e63,,,,,,,,
