manifest_file,document_id,document_title,source_path,section_id,family_id,start_line,end_line,line_span,notes
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,corrections_2_54_to_2_55,cap413_clearance_comms_guidance_family,6255,6272,18,CAP 413 §§2.54-2.55: correction and full-message repetition phraseology. Split from the combined hardening window after first ingestion produced more candidates than the review cap.
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,acknowledgement_receipt_2_56,cap413_clearance_comms_guidance_family,6273,6287,15,CAP 413 §2.56: acknowledgement of receipt by callsign or Roger/callsign. Split from the combined hardening window after first ingestion produced more candidates than the review cap.
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,transfer_content_2_57_to_2_59,cap413_clearance_comms_guidance_family,6288,6306,19,"CAP 413 §§2.57-2.59: transfer-instruction content, single-message guidance, readback-before-transfer guidance, and assumption of satisfactory transfer. Split from the transfer window after live ingestion produced invalid truncated JSON."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,frequency_change_permission_2_60_to_2_61,cap413_clearance_comms_guidance_family,6308,6324,17,"CAP 413 §§2.60-2.61: advised frequency change, pilot notification before unauthorised change, and controlled-airspace permission before changing frequency. Split from the transfer window after live ingestion produced invalid truncated JSON."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,standby_monitor_conditional_contact_2_62_to_2_63,cap413_clearance_comms_guidance_family,6326,6379,54,"CAP 413 §§2.62-2.63: standby/monitor use, contact at a point or level, and radar-heading report on transfer. Split from the transfer window after live ingestion produced invalid truncated JSON."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,freecall_change_intention_2_64,cap413_clearance_comms_guidance_family,6381,6390,10,CAP 413 §2.64: pilot request or notification when intending to freecall or change to another agency. Split from the transfer window after live ingestion produced invalid truncated JSON.
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,clearance_issue_context_2_65_to_2_67,cap413_clearance_comms_guidance_family,6391,6428,38,"CAP 413 §§2.65-2.67: clearance issue context before the existing readback window, including clarity, start-up timing, route/local-departure separation, tactical-restriction reiteration, taxi/take-off timing, and take-off/departure wording. Split from the combined hardening window after first ingestion produced more candidates than the review cap."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,readback_2_68_2_71,cap413_readback_family,6429,6555,127,"§2.68-2.71 Read-back Requirements (narrowed scope; the §2.65-2.67 introductory clauses and §2.72 UNABLE handling are out of scope for the readback-family proving slice). Numbered subsections with embedded RTF dialogue examples (BIGJET 347, G-ABCD, G-CD)."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,unable_reclearance_critical_info_2_72_to_2_75,cap413_clearance_comms_guidance_family,6556,6604,49,"CAP 413 §§2.72-2.75: UNABLE, revised-clearance cancellation, and critical-information repetition. Hardened in clearance_comms_2026-04-30."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,compliance_timing_2_82_to_2_87,cap413_clearance_comms_guidance_family,6703,6783,81,"CAP 413 §§2.82-2.87: prompt compliance, pilot delay advice, when-ready/after-passing timing, now/immediately urgency, and placement examples. Split from the compliance/communication-failure window after live ingestion showed the combined window was too heavy."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,air_ground_communication_failure_2_88,cap413_clearance_comms_guidance_family,6784,6832,49,"CAP 413 §2.88: aircraft-side communication-failure checks, alternate-frequency attempts, transmitting blind, receiver-failure reports, and intention transmission. Split from the compliance/communication-failure window after live ingestion showed the combined window was too heavy."
research/tools/requirements-spike/documents/cap413.json,cap413-extracted,CAP 413 — UK Manual of Radiotelephony,research/txt/cap413-extracted.txt,ground_air_communication_failure_2_89_to_2_91,cap413_clearance_comms_guidance_family,6833,6864,32,"CAP 413 §§2.89-2.91: ground-station checks, blind transmission, and assumed level/route/EAT/weather message content. Split from the compliance/communication-failure window after live ingestion showed the combined window was too heavy."
research/tools/requirements-spike/documents/egast.json,egast-vfr-extracted,EGAST GA9 — VFR Phraseology Pocket Guide,research/txt/egast-vfr-extracted.txt,readback_advisory,egast_vfr_readback_family,539,608,70,"Readback advisory family. Mixed best-practice prose, bullet list of items requiring readback, acknowledgement-by-callsign rule, Wilco usage, and read-back-when-required guidance, with inline page-layout noise. No clause numbering."
research/tools/requirements-spike/documents/h01.json,h01-extracted,AIC A 21/23 (Austria) Sprechfunkverfahren / Radio Communication Procedures,research/txt/h01-extracted.txt,acknowledgement_3_8_1,h01_readback_family,4197,4337,141,"§3.8.1 ACKNOWLEDGEMENT OF RECEIPT, items a)-h). Bilingual German/English: each lettered item appears twice (German first, English second) with the same letter marker. Nested numbered list 1-4 (the items always to be read back) is laid out separately from its parent clause c) due to two-column extraction."
research/tools/requirements-spike/documents/h01.json,h01-extracted,AIC A 21/23 (Austria) Sprechfunkverfahren / Radio Communication Procedures,research/txt/h01-extracted.txt,end_of_conversation_3_8_2,h01_end_of_conversation_family,4339,4348,10,§3.8.2 END OF CONVERSATION. Bilingual single-paragraph rule: a radiotelephone conversation shall be terminated by the receiving ATS unit or aircraft using its own callsign.
research/tools/requirements-spike/documents/h01.json,h01-extracted,AIC A 21/23 (Austria) Sprechfunkverfahren / Radio Communication Procedures,research/txt/h01-extracted.txt,corrections_3_8_3,h01_corrections_family,4359,4500,142,"§3.8.3 CORRECTIONS AND REPETITIONS, items a)-onwards. Bilingual German/English with shared lettered markers. CORRECTION/'CORRECTION I SAY AGAIN' phraseology rules, request-for-repetition phraseology."
research/tools/requirements-spike/documents/icao4444.json,icao4444-extracted,ICAO Doc 4444 PANS-ATM (Procedures for Air Navigation Services - Air Traffic Management),research/txt/icao4444-extracted.txt,transfer_4_3_2_1,icao4444_transfer_family,3086,3131,46,"§4.3.2.1 Transfer family: arriving and departing control-transfer clauses, nested conditions, and supporting note. Parent + mutually-exclusive sibling shape (a/b)."
research/tools/requirements-spike/documents/icao4444.json,icao4444-extracted,ICAO Doc 4444 PANS-ATM (Procedures for Air Navigation Services - Air Traffic Management),research/txt/icao4444-extracted.txt,control_responsibility_4_3_1,icao4444_clearance_comms_contract_family,3071,3085,15,ICAO Doc 4444 §4.3.1 General: ATS authority designation of ATC unit and working-position responsibility. Hardened in clearance_comms_2026-04-30.
research/tools/requirements-spike/documents/icao4444.json,icao4444-extracted,ICAO Doc 4444 PANS-ATM (Procedures for Air Navigation Services - Air Traffic Management),research/txt/icao4444-extracted.txt,control_transfer_app_acc_sector_4_3_3_to_4_3_5,icao4444_clearance_comms_contract_family,3132,3164,33,ICAO Doc 4444 §§4.3.3-4.3.5: approach/area and sector responsibility transfer rules. Hardened in clearance_comms_2026-04-30.
research/tools/requirements-spike/documents/icao4444.json,icao4444-extracted,ICAO Doc 4444 PANS-ATM (Procedures for Air Navigation Services - Air Traffic Management),research/txt/icao4444-extracted.txt,readback_4_5_7_5,icao4444_readback_family,3401,3429,29,"§4.5.7.5 Readback family: parent clause, subordinate list (a/b/c), notes, and following standalone clauses (4.5.7.5.1.1, 4.5.7.5.2, 4.5.7.5.2.1)."
research/tools/requirements-spike/documents/icao4444.json,icao4444-extracted,ICAO Doc 4444 PANS-ATM (Procedures for Air Navigation Services - Air Traffic Management),research/txt/icao4444-extracted.txt,clearance_scope_contents_4_5_1_to_4_5_7_4,icao4444_clearance_comms_contract_family,3265,3400,136,"ICAO Doc 4444 §§4.5.1-4.5.7.4: clearance scope, purpose, timing, contents, clearance limit, route, level, and amended-clearance semantics. Hardened in clearance_comms_2026-04-30."
